"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","C","mut","div","trans","Vtot","nu","numGclasses","cancer"
0,0.75,1349.345,0,0,0,40.45,0.22,0,0,635275.08,7.71,3226227.88,5e-17,1,0
0,1.25,1146.015,0,0,0,49.05,0.24,0,0,1780512.73,6.34,3242309.88,5e-17,1,0
0,1.75,1550.915,0,0,0,50,0.24,0,0,4448177.95,7.51,4108105.62,5e-17,1,0
0,2.25,7189.205,0.77,0.06,0,50.02,0.4,0,0,14882880.89,15.67,8214743.76,5e-17,1,0
0,2.75,16859.01,798590981.94,40388096.79,8740369.84,50.1,34961381.87,0,0.27,609434584630.16,553.05,263089828997.42,5e-17,1,0.27
0,3.25,14165.045,2216323058.03,112117877.65,24253159.19,50.08,97011270.15,0,0.64,1504281940891.24,465.18,648459594637.02,5e-17,1,0.64
0,3.75,13025.56,3253532350.76,164613493.38,35602631.35,50.08,142412004.26,0,0.71,2061157445637.93,427.92,889768759744.62,5e-17,1,0.71
0,4.25,11450.02,4039785205.86,204637335.61,44156651.23,50.14,176625827.76,0,0.83,2260035321544.82,376.18,970565036374.79,5e-17,1,0.83
0,4.75,11471.645,4668991656.24,236445432.32,51049914.97,50.12,204201971.91,0,0.82,2632840151013.64,377.19,1132179069168.6,5e-17,1,0.82
0,0.5,1839.425,0,0,0,30.78,0.37,0,0,322724.6,9.82,3684617.39,5e-17,1,0
0,1,1171.075,0,0,0,46.46,0.52,0,0,1101762.13,6.63,3136594.2,5e-17,1,0
0,1.5,1258.15,0,0,0,49.81,0.18,0,0,2685214.83,6.33,3387761.15,5e-17,1,0
0,2,2319.415,0,0,0,50,0.43,0,0,7502013.03,9.76,5277186.83,5e-17,1,0
0,2.5,18250.5,443.72,21.44,4.86,50.03,18.97,0,0,194301772.79,154.89,86123971.41,5e-17,1,0
0,3,15324.055,1568163341.93,79319492.07,17161370.69,50.08,68645651.63,0,0.47,1134547682579.37,503.02,489358432486.94,5e-17,1,0.47
0,3.5,13428.895,2771966222.17,140242750.61,30333173.19,50.08,121333132.28,0,0.7,1800220988330.19,441.06,776887337115.98,5e-17,1,0.7
