"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","numGclasses","cancer"
0,0.7,926.391666666667,0,0,0.3,1,1.28333333333333,0,0,1421.11666666667,5e-15,2,0
0,0.5,315.241666666667,0,0,0.116666666666667,1,0.366666666666667,0,0,71.1833333333333,5e-15,2,0
0,1.5,2060.43333333333,0,0,0.0333333333333333,31.2333333333333,0.2,0,1.86666666666667,347432.866666667,5e-15,2,0
0,1.3,3569.175,0,0,0.0166666666666667,20.3333333333333,0.1,0,2.96666666666667,584410.2,5e-15,2,0
0,1.7,1530.31666666667,0,0,0,39.5,0,0,1.58333333333333,268062.066666667,5e-15,2,0
0,1.1,16307.85,107.95,2.36666666666667,0.7,7.55,2.25,0,5.33333333333333,900079.45,5e-15,2,0
0,1.9,1337.65833333333,0,0,0,45.75,0,0,1.38333333333333,239571.166666667,5e-15,2,0
0,0.9,15547.9416666667,185.833333333333,3.98333333333333,9.71666666666667,1.8,39.8666666666667,0,2.85,408171.983333333,5e-15,2,0
0,2.1,1308.86666666667,0,0,0,47.8333333333333,0,0,0.85,179848.483333333,5e-15,2,0
0,2.3,1368.66666666667,0,0,0,49.4,0.0666666666666667,0,0.883333333333333,174212.866666667,5e-15,2,0
0,2.5,1749.55833333333,0,0,0,49.8833333333333,0,0,0.883333333333333,172208.866666667,5e-15,2,0
0,2.7,2954.68333333333,0,0,0,49.9833333333333,0,0,0.95,172585.066666667,5e-15,2,0
0,2.9,10958.55,17.95,1.25,0,50,0,0,1,193526.5,5e-15,2,0
0,3.1,18157.5416666667,99.3166666666667,6.46666666666667,0.0666666666666667,50.0166666666667,0.233333333333333,0,1.36666666666667,246354.283333333,5e-15,2,0
0,3.3,18250.5,262.4,16.3333333333333,0.1,50.05,0.25,0,2.21666666666667,434977.516666667,5e-15,2,0
0,3.5,18250.5,1812828.03333333,126964.366666667,613.533333333333,50.05,2464.16666666667,0,115.566666666667,22022897.0666667,5e-15,2,0
0,3.7,17918.475,536205450.916667,37549585.3833333,178254.45,50.0166666666667,713070.083333333,1.5,563.466666666667,5709073918.45,5e-15,2,0.05
0,3.9,17104.9666666667,1019374192.26667,71401104.2666667,338979.516666667,50.0333333333333,1356034.5,4.5,549.4,10796770635.9833,5e-15,2,0.15
0,4.1,15906.3916666667,1453396168.71667,101851623.866667,482621.683333333,50.0666666666667,1930208.53333333,6.5,513.266666666667,14467668804.9167,5e-15,2,0.216666666666667
0,4.3,16562.6583333333,1847048515.71667,129496488.733333,612610.166666667,50.1,2450083,6.5,537.383333333333,19385252866.8333,5e-15,2,0.216666666666667
0,4.5,14036.3,2212390997.5,155053441.883333,734140.833333333,50.0666666666667,2936910.56666667,13.5,454.85,19655549295.3667,5e-15,2,0.45
0,4.7,14532.775,2544423904.23333,178313110.966667,844772.1,50.0666666666667,3378573.61666667,13.5,472.516666666667,23595719146.05,5e-15,2,0.45
0,4.9,14517.775,2840239215.13333,199275757.783333,940458.616666667,50.15,3762121.33333333,11.5,473.083333333333,26314924629.9667,5e-15,2,0.383333333333333
0,5.1,15083.0916666667,3125911099.21667,219164899.266667,1036643.31666667,50.1,4146181.66666667,10.5,492.583333333333,30323763316.0667,5e-15,2,0.35
0.025,0.7,1715.89166666667,0.5,0.0166666666666667,0.533333333333333,1,1.83333333333333,0,0.0166666666666667,5409.9,5e-15,2,0
0.025,0.5,296.325,0,0,0.133333333333333,1,0.683333333333333,0,0,84.1333333333333,5e-15,2,0
0.025,1.5,2187.79166666667,0,0,0,32.5666666666667,0,0,1.96666666666667,358327.033333333,5e-15,2,0
0.025,1.3,3419.79166666667,0,0,0.0166666666666667,21.3333333333333,0,0,3.2,522794.566666667,5e-15,2,0
0.025,1.7,1469.04166666667,0,0,0,40.7333333333333,0,0,1.41666666666667,267144.383333333,5e-15,2,0
0.025,1.1,14966.8,77.4666666666667,2.13333333333333,0.683333333333333,8.78333333333333,2.38333333333333,0,5.31666666666667,880521.133333333,5e-15,2,0
0.025,1.9,1298.59166666667,0,0,0,45.7333333333333,0,0,1.4,218452.85,5e-15,2,0
0.025,0.9,15164.6916666667,245.333333333333,4.6,12.95,1.8,51.0166666666667,0,3.35,546898.9,5e-15,2,0
0.025,2.1,1326.65833333333,0,0,0,48.0166666666667,0,0,1.21666666666667,185758.416666667,5e-15,2,0
0.025,2.3,1346.525,0,0,0,49.5333333333333,0.0166666666666667,0,0.95,182350.366666667,5e-15,2,0
0.025,2.5,1824.44166666667,0,0,0.0166666666666667,49.8833333333333,0.1,0,0.966666666666667,178158.8,5e-15,2,0
0.025,2.7,2849.625,0,0,0,50,0,0,1.1,186567.416666667,5e-15,2,0
0.025,2.9,11645.8083333333,23.5333333333333,1.48333333333333,0,50.0333333333333,0.0333333333333333,0,1.13333333333333,193445.9,5e-15,2,0
0.025,3.1,18250.5,119.183333333333,7.65,0.0333333333333333,50.0166666666667,0.0833333333333333,0,1.7,266927.216666667,5e-15,2,0
0.025,3.3,18250.5,281.266666666667,19.6333333333333,0.0666666666666667,50.0666666666667,0.366666666666667,0,2.26666666666667,444444.95,5e-15,2,0
0.025,3.5,18250.5,64790323.1666667,4504795.05,21652.8666666667,50.0666666666667,86532.5666666667,0,411.65,422929072.35,5e-15,2,0
0.025,3.7,17379.2833333333,592544462.266667,41237256.6,197988.983333333,50.1,791813.55,4,548.3,6184460456.45,5e-15,2,0.133333333333333
0.025,3.9,16365.6583333333,1081350916.03333,75221274.2833333,361733.733333333,50.05,1446714.53333333,7,524.816666666667,11008659950.8667,5e-15,2,0.233333333333333
0.025,4.1,16030.6583333333,1522466676.28333,105834888.2,509944.583333333,50,2039663.51666667,5.5,518.5,15464862402.15,5e-15,2,0.183333333333333
0.025,4.3,16039.2583333333,1899330704.16667,132300941.233333,633562.55,50.15,2534150.86666667,8,520.866666666667,19413871904.9,5e-15,2,0.266666666666667
0.025,4.5,14634.775,2258624560.06667,157272907.633333,753691.583333333,50.05,3014860.9,12,475.35,21244044519.25,5e-15,2,0.4
0.025,4.7,13986.5416666667,2582646751.38333,179951229.883333,860298,50.0833333333333,3440847.5,13,454.55,23256919377.35,5e-15,2,0.433333333333333
0.025,4.9,12541.1166666667,2892957997.06667,201474365,965283.45,50.1333333333333,3861045.53333333,15.5,407.366666666667,23121395595.3667,5e-15,2,0.516666666666667
0.025,5.1,15142.6916666667,3166761794.98333,220700638.033333,1054733.18333333,50.1833333333333,4219144.03333333,10,494.283333333333,30923089559.1333,5e-15,2,0.333333333333333
0.05,0.7,3390.88333333333,1.53333333333333,0.05,0.716666666666667,1.01666666666667,2.86666666666667,0,0.116666666666667,16703.6166666667,5e-15,2,0
0.05,0.5,331.816666666667,0,0,0.0833333333333333,1.01666666666667,0.3,0,0,29.1333333333333,5e-15,2,0
0.05,1.5,1802.35833333333,0,0,0.0166666666666667,34.5,0.0333333333333333,0,2.05,360032.4,5e-15,2,0
0.05,1.3,3466.16666666667,0.516666666666667,0.0166666666666667,0,21.4833333333333,0,0,2.4,434113.133333333,5e-15,2,0
0.05,1.7,1452.28333333333,0,0,0.0166666666666667,41.5166666666667,0.0333333333333333,0,1.61666666666667,279749.016666667,5e-15,2,0
0.05,1.1,12601.15,54.5166666666667,1.43333333333333,0.4,10.3,1.65,0,4.45,798122.9,5e-15,2,0
0.05,1.9,1263.825,0,0,0,46.8166666666667,0,0,1.38333333333333,237264.333333333,5e-15,2,0
0.05,0.9,15512.125,259.15,5.58333333333333,10.7833333333333,2.2,41.45,0,4.2,628255.883333333,5e-15,2,0
0.05,2.1,1289.00833333333,0,0,0,48.5666666666667,0,0,1.25,200451.633333333,5e-15,2,0
0.05,2.3,1433.175,0,0,0,49.7,0,0,1.08333333333333,181742.2,5e-15,2,0
0.05,2.5,1850.79166666667,0,0,0,49.9166666666667,0,0,1,174165.783333333,5e-15,2,0
0.05,2.7,3794.56666666667,0,0,0.0166666666666667,49.9833333333333,0.05,0,0.966666666666667,173509.55,5e-15,2,0
0.05,2.9,12733.8333333333,35.2,2.21666666666667,0.0333333333333333,50.0333333333333,0.0833333333333333,0,1.33333333333333,211909.866666667,5e-15,2,0
0.05,3.1,18250.5,121.6,8.15,0.116666666666667,50.0166666666667,0.45,0,1.45,282531.8,5e-15,2,0
0.05,3.3,18250.5,331.683333333333,21.8,0.116666666666667,50.1,0.4,0,2.8,515339.466666667,5e-15,2,0
0.05,3.5,18250.5,133751719.233333,9230740.91666667,45061.55,50.05,180205.833333333,0,487.716666666667,1157547584.16667,5e-15,2,0
0.05,3.7,17162.05,657687408.033333,45448887.3833333,221214.783333333,50.1166666666667,884785.166666667,3.5,543.7,6847305139.71667,5e-15,2,0.116666666666667
0.05,3.9,16839.3583333333,1147560740.61667,79235121.95,386798.916666667,50.0333333333333,1547122.91666667,4,541.9,12185812354.9833,5e-15,2,0.133333333333333
0.05,4.1,16273.5833333333,1583438318.25,109285996.766667,534312.616666667,50,2137047.25,7.5,526.7,16486248795.9333,5e-15,2,0.25
0.05,4.3,14208.3083333333,1965114488.78333,135778307.15,661245.3,50.0833333333333,2645081.86666667,10,459.783333333333,17835632880.1167,5e-15,2,0.333333333333333
0.05,4.5,15157.375,2322163266.75,160451862.25,781175.066666667,50.0666666666667,3124704.53333333,11.5,492.216666666667,22729088031.15,5e-15,2,0.383333333333333
0.05,4.7,14487.225,2650778440.75,183116852.7,892353.4,50.0666666666667,3568890.61666667,11.5,471.133333333333,24886953262.8667,5e-15,2,0.383333333333333
0.05,4.9,14248.4416666667,2939312009.26667,203365825.133333,985210.75,50.15,3940426.61666667,12.5,464.1,27124834250.75,5e-15,2,0.416666666666667
0.05,5.1,14456.925,3222315772.43333,222757119.166667,1083065.6,50.1166666666667,4332337.65,13.5,471.716666666667,30279992678.3167,5e-15,2,0.45
0.075,0.7,4512.10833333333,7.9,0.2,1.21666666666667,1.03333333333333,4.88333333333333,0,0.133333333333333,31354.55,5e-15,2,0
0.075,0.5,366.875,0,0,0.1,1,0.45,0,0,59.0833333333333,5e-15,2,0
0.075,1.5,1830.425,0,0,0,34.2333333333333,0,0,1.78333333333333,350026.283333333,5e-15,2,0
0.075,1.3,2928.69166666667,0,0,0.0166666666666667,24.2,0.05,0,2.81666666666667,469818.95,5e-15,2,0
0.075,1.7,1401.60833333333,0,0,0,42.5,0,0,1.48333333333333,273617.966666667,5e-15,2,0
0.075,1.1,11437.3916666667,44.75,1.25,0.116666666666667,11.5833333333333,0.416666666666667,0,3.86666666666667,712422.783333333,5e-15,2,0
0.075,1.9,1298.73333333333,0,0,0,46.7833333333333,0,0,1.26666666666667,225239.4,5e-15,2,0
0.075,0.9,16392.575,268.35,5.13333333333333,10.8833333333333,2.83333333333333,43.85,0,5.4,772224.483333333,5e-15,2,0
0.075,2.1,1274.60833333333,0,0,0,48.75,0,0,1.03333333333333,200124.566666667,5e-15,2,0
0.075,2.3,1410.15833333333,0,0,0,49.6833333333333,0,0,1.36666666666667,182428.133333333,5e-15,2,0
0.075,2.5,1802.95833333333,0,0,0,49.9333333333333,0,0,1.03333333333333,176475.033333333,5e-15,2,0
0.075,2.7,4609.18333333333,0,0,0.0333333333333333,50.05,0.166666666666667,0,1.33333333333333,189347.183333333,5e-15,2,0
0.075,2.9,15107.7083333333,43.1166666666667,2.91666666666667,0.0333333333333333,50.0166666666667,0.0833333333333333,0,1.25,214608.5,5e-15,2,0
0.075,3.1,18250.5,134.85,8.33333333333333,0.05,50.0166666666667,0.116666666666667,0,1.73333333333333,287498.816666667,5e-15,2,0
0.075,3.3,18250.5,444.75,30.35,0.183333333333333,50.0333333333333,0.6,0,4.06666666666667,667317.2,5e-15,2,0
0.075,3.5,18250.5,200087546.916667,13715655.5666667,67857.0333333333,50.0833333333333,271518.033333333,0,531.2,1930840146.93333,5e-15,2,0
0.075,3.7,16734.1833333333,729524162.683333,50031209.5333333,247362.483333333,50.0833333333333,989994.683333333,3.5,530.65,7510320266,5e-15,2,0.116666666666667
0.075,3.9,17017.6,1191925531.21667,81741168.5,404220.95,50.05,1616701.53333333,5.5,547.883333333333,13116488888.2667,5e-15,2,0.183333333333333
0.075,4.1,16752.3583333333,1638276430.23333,112323766.95,555817.733333333,50.05,2223631.56666667,5,542.266666666667,17690360256.7,5e-15,2,0.166666666666667
0.075,4.3,14467.0666666667,2023782568.35,138809597.666667,685923.9,50.0666666666667,2743930.35,11,468.933333333333,18883310897.8667,5e-15,2,0.366666666666667
0.075,4.5,15393.5,2383420088.83333,163375421.983333,809006.75,50.0333333333333,3236165.31666667,9.5,500.733333333333,23899980483.4,5e-15,2,0.316666666666667
0.075,4.7,15076.9833333333,2697666768.85,185138768.233333,912639.8,50.0666666666667,3649796.9,9.5,490.766666666667,26600588402.2167,5e-15,2,0.316666666666667
0.075,4.9,14593.7,3001742324.16667,205859647.75,1017638.7,50.0666666666667,4071105.03333333,11,475.566666666667,28642637761.9333,5e-15,2,0.366666666666667
0.075,5.1,13831.725,3268625918.73333,224407982.433333,1104702.8,50.1333333333333,4418042.63333333,15.5,451.2,29546734927.4833,5e-15,2,0.516666666666667
0.1,0.7,9367.16666666667,26.9666666666667,0.416666666666667,2.4,1.15,10.25,0,0.633333333333333,86055.5833333333,5e-15,2,0
0.1,0.5,377.125,0,0,0.1,1,0.183333333333333,0,0,61.45,5e-15,2,0
0.1,1.5,1741.925,0,0,0.0166666666666667,35.8833333333333,0.0166666666666667,0,1.86666666666667,321811.933333333,5e-15,2,0
0.1,1.3,2918.25,1.98333333333333,0.0333333333333333,0.0166666666666667,24.6166666666667,0,0,2.46666666666667,426043.366666667,5e-15,2,0
0.1,1.7,1392.05,0,0,0,42.0166666666667,0,0,1.41666666666667,255837.883333333,5e-15,2,0
0.1,1.1,9182.5,23.9,0.716666666666667,0.0833333333333333,12.85,0.183333333333333,0,4.21666666666667,723462.683333333,5e-15,2,0
0.1,1.9,1294.375,0,0,0.0166666666666667,46.4333333333333,0.0166666666666667,0,1.08333333333333,209917.133333333,5e-15,2,0
0.1,0.9,16447,238.85,4.95,6.53333333333333,3.26666666666667,26.5833333333333,0,6.4,923330.766666667,5e-15,2,0
0.1,2.1,1309.71666666667,0,0,0,48.5666666666667,0,0,1.15,184037.9,5e-15,2,0
0.1,2.3,1451.83333333333,0,0,0,49.6666666666667,0,0,0.95,185111.383333333,5e-15,2,0
0.1,2.5,2025.725,0,0,0,49.95,0,0,1.16666666666667,184670,5e-15,2,0
0.1,2.7,5552.25833333333,1.11666666666667,0.05,0,50.0166666666667,0,0,0.9,187253.1,5e-15,2,0
0.1,2.9,15372.6666666667,54.5,3.36666666666667,0.0166666666666667,50.0333333333333,0.0833333333333333,0,1.45,227374.483333333,5e-15,2,0
0.1,3.1,18250.5,153.3,9.61666666666667,0.0333333333333333,50.0833333333333,0.116666666666667,0,1.73333333333333,317502.95,5e-15,2,0
0.1,3.3,18250.5,622,42.6166666666667,0.216666666666667,50.05,0.65,0,4.5,751140.366666667,5e-15,2,0
0.1,3.5,17937.5166666667,273937827.016667,18641007.9833333,93606.8333333333,50.0666666666667,374471,1,540.333333333333,2748848256.66667,5e-15,2,0.0333333333333333
0.1,3.7,16955.1166666667,797071456.4,54273151.7166667,272003.1,50.0833333333333,1088110.06666667,4,539.416666666667,8430449173.76667,5e-15,2,0.133333333333333
0.1,3.9,16468.9583333333,1269144542.78333,86421191.8833333,433084.633333333,50.0833333333333,1732460.03333333,6,531.383333333333,13374769647.9667,5e-15,2,0.2
0.1,4.1,15272.375,1695218320.78333,115430462.483333,578668.916666667,50.0833333333333,2314911.18333333,9,494,16763481850.3333,5e-15,2,0.3
0.1,4.3,14114.5333333333,2054110479.23333,140165462.816667,697710.983333333,50.1166666666667,2790314.85,11.5,457.116666666667,19030020978,5e-15,2,0.383333333333333
0.1,4.5,14053.55,2433001203.13333,165687379.25,829980.466666667,50.0833333333333,3319664.73333333,11.5,456.45,22322084498.9667,5e-15,2,0.383333333333333
0.1,4.7,15355.7,2748277263.86667,187321989.833333,935925.666666667,50.15,3743681.61666667,10,500.45,27727975009.4667,5e-15,2,0.333333333333333
0.1,4.9,14841.1083333333,3044277235.58333,207500673.4,1036515.68333333,50.15,4146114.83333333,13,483.933333333333,29692236800.9167,5e-15,2,0.433333333333333
0.1,5.1,14212.0333333333,3320300722.93333,226209878.916667,1131879.86666667,50.1166666666667,4527238.95,15,463.566666666667,31151585049.2333,5e-15,2,0.5
0.125,0.7,9866.85833333333,52.3166666666667,1.03333333333333,3.81666666666667,1.11666666666667,14.15,0,0.766666666666667,132110.033333333,5e-15,2,0
0.125,0.5,423.133333333333,0,0,0.233333333333333,1,0.783333333333333,0,0,210.1,5e-15,2,0
0.125,1.5,1553.35833333333,0,0,0.0166666666666667,38.3166666666667,0.0666666666666667,0,1.95,328273.983333333,5e-15,2,0
0.125,1.3,2420.825,0,0,0,26.55,0,0,2.23333333333333,425962.116666667,5e-15,2,0
0.125,1.7,1349.1,0,0,0,43.35,0,0,1.38333333333333,265361.033333333,5e-15,2,0
0.125,1.1,8120.425,18.95,0.483333333333333,0.133333333333333,15.0333333333333,0.566666666666667,0,3.95,698751.283333333,5e-15,2,0
0.125,1.9,1279.35833333333,0,0,0,47.3166666666667,0,0,1.15,216602.816666667,5e-15,2,0
0.125,0.9,15986.8083333333,211.066666666667,4.2,3.9,3.96666666666667,16.4166666666667,0,5.61666666666667,868459.5,5e-15,2,0
0.125,2.1,1307.95,0,0,0.0166666666666667,49,0.0333333333333333,0,1.25,195711.066666667,5e-15,2,0
0.125,2.3,1528.025,0,0,0.0166666666666667,49.7833333333333,0.116666666666667,0,0.983333333333333,179224.033333333,5e-15,2,0
0.125,2.5,2189.16666666667,0,0,0,49.9666666666667,0,0,1.08333333333333,193385.8,5e-15,2,0
0.125,2.7,5480.71666666667,0.366666666666667,0.0166666666666667,0,50.0333333333333,0,0,1.21666666666667,197845.516666667,5e-15,2,0
0.125,2.9,16560.5333333333,68.1666666666667,3.48333333333333,0,50.0166666666667,0,0,1.38333333333333,235580.716666667,5e-15,2,0
0.125,3.1,18133.2666666667,167.966666666667,10.05,0.05,50.0333333333333,0.266666666666667,0,2.18333333333333,337434.95,5e-15,2,0
0.125,3.3,18250.5,856.183333333333,58.75,0.3,50.05,1.18333333333333,0,5.88333333333333,1082666.7,5e-15,2,0
0.125,3.5,18052.2833333333,354872584.883333,23958972.7666667,122258.466666667,50,489022.833333333,0.5,557.283333333333,3758299262.06667,5e-15,2,0.0166666666666667
0.125,3.7,17337.8666666667,867195116.216667,58598069.2833333,298211.416666667,50.0666666666667,1192862.16666667,3,554.583333333333,9549897544.16667,5e-15,2,0.1
0.125,3.9,16245.4583333333,1331279889.01667,90006058.05,457356.433333333,50.1,1829429.55,6.5,523.6,13962085022.5833,5e-15,2,0.216666666666667
0.125,4.1,15302.7916666667,1754276761.43333,118603052.5,602511.75,50.0833333333333,2409735.4,8,495.666666666667,17517843799.1667,5e-15,2,0.266666666666667
0.125,4.3,15815.2166666667,2139508969.81667,144621726.266667,735350.816666667,50.0833333333333,2941404,8.5,513.666666666667,22246465701.3333,5e-15,2,0.283333333333333
0.125,4.5,14986.0166666667,2485229840.18333,168072851.45,853281.366666667,50.1166666666667,3413040.95,9,487.75,24569743169.0333,5e-15,2,0.3
0.125,4.7,14532.0416666667,2757499138.36667,186944246.466667,940879.55,50.0833333333333,3761840.2,12,473.35,26997418083.9333,5e-15,2,0.4
0.125,4.9,13164.9833333333,3088594468.96667,209098805.15,1057496.98333333,50.1,4229225.3,15,428.516666666667,26958740592.9,5e-15,2,0.5
0.125,5.1,13244.35,3350684740.63333,227111184.666667,1143760.8,50.1666666666667,4574277.03333333,15,431.75,29511344430.6667,5e-15,2,0.5
0.15,0.7,9148.00833333333,61.4666666666667,0.9,4.11666666666667,1.31666666666667,15.7166666666667,0,1.13333333333333,162552.1,5e-15,2,0
0.15,0.5,540.675,0,0,0.116666666666667,1,0.483333333333333,0,0,123.383333333333,5e-15,2,0
0.15,1.5,1571.68333333333,0,0,0,38.2,0,0,1.73333333333333,325171.316666667,5e-15,2,0
0.15,1.3,2375.23333333333,0.15,0,0,29.4333333333333,0,0,2.28333333333333,459353.983333333,5e-15,2,0
0.15,1.7,1366.5,0,0,0.0166666666666667,43.9,0.0666666666666667,0,1.45,267325.833333333,5e-15,2,0
0.15,1.1,6397.325,10.7166666666667,0.3,0.0666666666666667,16.0166666666667,0.266666666666667,0,3.46666666666667,645964.866666667,5e-15,2,0
0.15,1.9,1274.36666666667,0,0,0,47.2333333333333,0,0,1.1,207322.116666667,5e-15,2,0
0.15,0.9,16148.9416666667,204.85,4.21666666666667,3.63333333333333,4.86666666666667,14.8333333333333,0,6.51666666666667,1063841.3,5e-15,2,0
0.15,2.1,1305.275,0,0,0,49.2833333333333,0,0,1.1,203897.866666667,5e-15,2,0
0.15,2.3,1561.44166666667,0,0,0,49.85,0,0,1.06666666666667,188773.1,5e-15,2,0
0.15,2.5,2226.14166666667,0,0,0,49.9833333333333,0,0,0.9,180301.983333333,5e-15,2,0
0.15,2.7,7104.74166666667,3.36666666666667,0.166666666666667,0,50.0166666666667,0,0,1.2,195082.45,5e-15,2,0
0.15,2.9,17682.875,81.05,4.71666666666667,0.0333333333333333,50.0333333333333,0.05,0,1.4,236034.316666667,5e-15,2,0
0.15,3.1,18250.5,192.1,11.8,0.116666666666667,50.05,0.383333333333333,0,2.48333333333333,384856.316666667,5e-15,2,0
0.15,3.3,18250.5,1587.05,103.083333333333,0.583333333333333,50.05,2.63333333333333,0,8.95,1575678.41666667,5e-15,2,0
0.15,3.5,17911.4916666667,407247463.966667,27330900.3666667,140880.116666667,50.1333333333333,563485.266666667,2,557.433333333333,4372602378,5e-15,2,0.0666666666666667
0.15,3.7,16529.6333333333,934754175.916667,62698401.85,323872.5,50.0666666666667,1295624.48333333,4.5,529.383333333333,9897592748.78333,5e-15,2,0.15
0.15,3.9,16143.5833333333,1403890400.16667,94124347.3,486804.666666667,50.0333333333333,1947029.48333333,8,521.05,14797916450.5167,5e-15,2,0.266666666666667
0.15,4.1,16490.0583333333,1810298819.8,121556406.883333,625526.15,50.1166666666667,2501685.48333333,5,535.283333333333,19676856578.6333,5e-15,2,0.166666666666667
0.15,4.3,15529.1666666667,2199028166.35,147522586.45,761533.75,50.0666666666667,3045498.9,10,504.5,22667218135.3,5e-15,2,0.333333333333333
0.15,4.5,14711.625,2540789952.81667,170552062.516667,878801.25,50.1166666666667,3515021.86666667,9.5,478.466666666667,24892691881.1833,5e-15,2,0.316666666666667
0.15,4.7,15596.6,2863518446.11667,192082359.1,991899.95,50.0666666666667,3967702.5,9,508.8,29858147089.5833,5e-15,2,0.3
