"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","C","mut","div","trans","Vtot","nu","cancer"
0,0.5,1716.305,0.17,-0.18,0,34.07,1.25,0,0,530459.31,NA,26527431.59,5e-17,0
0,0.75,1310.015,0.13,-0.16,0,43.34,1.25,0,0,996806.42,NA,33226818.49,5e-17,0
0,1,1151.275,0.13,-0.15,0,47.53,1.34,0,0,1499193.76,NA,37486077.47,5e-17,0
0,1.25,1120.475,0.1,-0.1,0,49.38,1.37,0,0,2263266.5,NA,45268984.61,5e-17,0
0,1.5,1188.395,0.12,-0.14,0,49.95,1.19,0,0,3515680.6,NA,58598730.62,5e-17,0
0,1.75,1396.435,0.1,-0.12,0,50.02,1.27,0,0,5470720.97,NA,78162419.35,5e-17,0
0,2,1903.615,0.02,-0.03,0,50.01,1.14,0,0,9703258.94,NA,121297201.13,5e-17,0
0,2.25,3722.605,0.05,-0.06,0,50.03,1.31,0,0,25184230.17,NA,279852639.52,5e-17,0
0,2.5,18005.975,182447603.88,8942900.49,0,50.07,182445286.56,0,0.06,113215043054.41,593.75,1152873624390.49,5e-17,0.06
0,2.75,16427.425,1059829895.37,52099957.02,0,50.05,1059811316.95,0,0.3,785039935570.17,541.97,7975265496393.04,5e-17,0.3
0,3,14789.94,1786880445.78,88041824.89,0,50.1,1786884135.1,0,0.48,1223065916013.09,487.78,12393094936529.1,5e-17,0.48
0,3.25,13937.48,2412122971.73,118959533.2,0,50.08,2412126644.13,0,0.65,1576133380004.95,459.76,15955220468527.6,5e-17,0.65
0,3.5,14086.145,2938024078.93,145219065.33,0,50.14,2938017884.85,0,0.59,1961696758746.31,464.84,19806932129995.5,5e-17,0.59
0,3.75,12768.185,3402644232.03,168340433.42,0,50.14,3402647430.7,0,0.74,2066629380447.55,421.33,20849457472370,5e-17,0.74
0,4,12607.75,3802452018.22,188494479.2,0,50.2,3802450504.17,0,0.76,2294668413867.48,416.28,23102905985539.1,5e-17,0.76
0,4.25,12484.75,4175567865.69,206713279.59,0,50.09,4175554058.6,0,0.82,2499604928729.33,412.23,25192194568181.8,5e-17,0.82
0,4.5,11166.79,4496695717.17,222710884.49,0,50.08,4496684583.29,0,0.85,2407936746713.87,368.65,24262216438383.3,5e-17,0.85
0,4.75,11327.825,4783328633.71,237045160.38,0,50.08,4783337259.15,0,0.85,2607379874224.82,373.92,26259076938618.7,5e-17,0.85
0,5,11678.305,5030699828.41,249960020.35,0,50.19,5030698196.46,0,0.83,2842887055820.9,385.85,28537257094721.5,5e-17,0.83
0.05,0.5,1851.535,0.15,-0.16,0,31.89,1.21,0,0,498228.33,NA,24920312.2,5e-17,0
0.05,0.75,1351.04,0.23,-0.24,0,41.28,1.4,0,0,868785.07,NA,28961173.44,5e-17,0
0.05,1,1164.2,0.14,-0.15,0,46.96,1.18,0,0,1428986.56,NA,35723288.45,5e-17,0
0.05,1.25,1122.72,0.08,-0.08,0,48.96,1.24,0,0,2086296.73,NA,41726303.71,5e-17,0
0.05,1.5,1162.8,0.14,-0.16,0,49.88,1.48,0,0,3253788.18,NA,54232733.12,5e-17,0
0.05,1.75,1354.81,0.05,-0.08,0,50.02,1.31,0,0,5045536.19,NA,72087714.58,5e-17,0
0.05,2,1751.25,0.11,-0.14,0,50.06,1.59,0,0,8288616.74,NA,103617969.5,5e-17,0
0.05,2.25,3016.025,0.08,-0.11,0,50.05,1.05,0,0,19045885.25,NA,211642229.76,5e-17,0
0.05,2.5,17780.975,1549148.95,77471.46,0,50.07,1549369.13,0,0,1508705748.26,573.53,15090706504.19,5e-17,0
0.05,2.75,17117.145,883930340.13,44306787.54,0,50.05,883932182.39,0,0.27,687722731111.04,564.87,6851201075050.33,5e-17,0.27
0.05,3,15095.67,1627880262.72,81761598.45,0,50.07,1627881858.27,0,0.45,1156017807115.2,497.93,11491962076340.7,5e-17,0.45
0.05,3.25,13799.79,2263636582.1,113822449.73,0,50.06,2263640790.14,0,0.64,1487760717385.79,455.27,14767204933742.1,5e-17,0.64
0.05,3.5,13293.265,2795769141.03,140964880.3,0,50.15,2795764992.63,0,0.69,1789604775111.89,438.5,17711259264618,5e-17,0.69
0.05,3.75,12765.925,3271052762.23,165059089.49,0,50.14,3271059768.88,0,0.73,2023070787464.17,421.19,20006124742396.5,5e-17,0.73
0.05,4,11894.485,3688881572.43,186237947.98,0,50.12,3688886296.37,0,0.78,2131967870013.83,392.43,21070015333489.7,5e-17,0.78
0.05,4.25,11914.32,4053484368.81,204870678.27,0,50.14,4053481750.29,0,0.86,2359029347778.3,393.12,23301331670632,5e-17,0.86
0.05,4.5,11726.935,4371421695.71,221421667.33,0,50.22,4371430948.66,0,0.84,2515208825212.85,387.24,24757666216054.1,5e-17,0.84
0.05,4.75,11415.995,4670838918.74,236452652.63,0,50.16,4670812053.8,0,0.89,2620207502593.65,376.89,25836401634010.8,5e-17,0.89
0.05,5,10999.815,4932676520.88,249937559.35,0,50.18,4932674335.29,0,0.88,2671667504683.16,363.17,26302921323117.6,5e-17,0.88
0.1,0.5,2063.105,0.18,-0.19,0,28.15,1.21,0,0,440210.69,NA,22010012.98,5e-17,0
0.1,0.75,1434.76,0.17,-0.18,0,39.56,1.24,0,0,857457.75,NA,28573802,5e-17,0
0.1,1,1196.365,0.14,-0.15,0,45.98,1.65,0,0,1447802.97,NA,36198965.15,5e-17,0
0.1,1.25,1113.93,0.08,-0.09,0,48.88,1.22,0,0,2089944.81,NA,41798978.41,5e-17,0
0.1,1.5,1153.685,0.16,-0.16,0,49.74,1.46,0,0,3120332.63,NA,52005029.33,5e-17,0
0.1,1.75,1291.255,0.12,-0.14,0,49.97,1.32,0,0,4661529.23,NA,66601665.04,5e-17,0
0.1,2,1649.02,0.13,-0.14,0,50.04,1.14,0,0,7881351.08,NA,98524949.69,5e-17,0
0.1,2.25,2631.495,0.1,-0.11,0,50.08,1.23,0,0,16593009.13,NA,184386202.34,5e-17,0
0.1,2.5,12402.365,0.05,-0.07,0,50.02,1.66,0,0,110280927.64,NA,1102924542.82,5e-17,0
0.1,2.75,17172.625,705219538.17,36044087.89,0,50.05,705221358.24,0,0.2,550361716828.19,566.67,5376926318017.9,5e-17,0.2
0.1,3,14943.58,1463937164.99,74967509.92,0,50.07,1463939709.07,0,0.46,1041631086231.05,492.62,10153854882135.7,5e-17,0.46
0.1,3.25,14492.02,2107584363.89,108108630.76,0,50.09,2107577605.44,0,0.56,1485978027735.22,478.29,14466578270397.5,5e-17,0.56
0.1,3.5,14206.71,2664785958.26,136814042.82,0,50.08,2664783295.15,0,0.63,1859889896231.71,468.95,18086066518927.2,5e-17,0.63
0.1,3.75,13306.86,3136838715.88,161445774.82,0,50.16,3136841157.95,0,0.73,2064197196409.84,439.14,20022301559519.6,5e-17,0.73
0.1,4,12822.325,3559245972.02,183372881.91,0,50.17,3559248675.88,0,0.66,2267176653032.25,423.26,21963078314224.7,5e-17,0.66
0.1,4.25,12094.825,3938378324.42,202906101.14,0,50.13,3938378350.55,0,0.82,2371079317087.42,399.11,22965292384140.1,5e-17,0.82
0.1,4.5,12097.865,4270324309.96,220191662.94,0,50.14,4270305764.83,0,0.83,2581639497960.1,399.54,24978070029304.2,5e-17,0.83
0.1,4.75,12018.73,4560407888.46,235644623.47,0,50.22,4560415382.93,0,0.83,2751944373859.46,396.86,26591342365584.9,5e-17,0.83
0.1,5,11063.96,4843564334.71,249744776.14,0,50.08,4843564522.93,0,0.85,2684528813594.3,365.34,25976405972620,5e-17,0.85
0.15,0.5,2323.465,0.13,-0.14,0,25.98,1.12,0,0,465578.56,NA,23275767.89,5e-17,0
0.15,0.75,1500.105,0.15,-0.17,0,38.77,1.43,0,0,838417.01,NA,27946247.35,5e-17,0
