"epsilon1","epsilon2","tfinal","G","R","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.7,1164.6375,0,0,1.025,0.85,0,0.125,14006,5e-15,0
0,0.5,288.0625,0,0,1,1.025,0,0,909.725,5e-15,0
0,1.5,1783.2875,0,0,33.425,0.825,0,19.125,24314687.9,5e-15,0
0,1.3,3699.125,3.475,0.075,21.55,4.325,0,23.7,20074613,5e-15,0
0,1.1,12527.3,77.775,2,9.875,77.925,0,40.7,13919335.4,5e-15,0
0,1.7,1425.9375,0,0,42.125,0.925,0,16.175,30713521.8,5e-15,0
0,1.9,1306.6875,0,0,46,1.425,0,14.6,34261966.55,5e-15,0
0,0.9,17346.85,257.325,4.925,1.875,257.35,0,17.025,2661011.925,5e-15,0
0,2.1,1302.9375,0,0,48.55,1.45,0,14.225,41493032.575,5e-15,0
0,2.3,1368.525,0,0,49.425,1.15,0,14.55,48658803.25,5e-15,0
0,2.5,1903.525,0,0,49.95,1.275,0,15.175,55098529.25,5e-15,0
0,2.7,3369.95,0,0,50,1.15,0,17.5,73067452.525,5e-15,0
0,2.9,12658.425,27.325,1.4,50,28.175,0,24.1,94874256.775,5e-15,0
0,3.1,18250.5,121.1,8.05,50.025,116.675,0,38.225,153806978.225,5e-15,0
0,3.3,18250.5,263.175,18.225,50.05,265.95,0,84.075,365036993.675,5e-15,0
0,3.5,15737.325,130517600.3,9010374.875,50.05,130510756.825,0.3,509.875,718938009305.55,5e-15,0.3
0,3.7,9394.3875,643448959.975,44517443.425,50.075,643388407.075,0.825,307.925,2542902059237.88,5e-15,0.825
0,3.9,7582.725,1120414588.9,77575802.625,50.075,1120299306.9,0.925,247.9,3677562613572.88,5e-15,0.925
0,4.1,4835.5875,1491143457.875,103721182.575,50.1,1490267142.1,0.975,156.425,3114072964509.42,5e-15,0.975
0,4.3,4769.75,1894507404.55,131584679.95,50.05,1893801213.85,0.975,154.475,3985288460283.27,5e-15,0.975
0,4.5,4644.55,2265260758.7,157363602.575,50.1,2264727793.1,1,150.375,4657844210564.17,5e-15,1
0,4.7,3912.1375,2542743644.25,176949353.95,50.075,2541634637.175,1,126.1,4443057682514.85,5e-15,1
0,4.9,2892.025,2877338803.825,200692942.25,50.225,2876034116.85,1,92.375,3505504724412.45,5e-15,1
0,5.1,2695.9875,3125599911.75,217996775.725,50.075,3123638542.625,1,86.05,3611978049520.5,5e-15,1
0.025,0.7,2426.725,0,0,1.05,1.15,0,0.275,50547.65,5e-15,0
0.025,0.5,317.3875,0,0,1,0.9,0,0,1069.875,5e-15,0
0.025,1.5,1804.625,0,0,34.85,1.125,0,19.25,25959074.5,5e-15,0
0.025,1.3,3726.4375,1.7,0,23.45,2.725,0,24.725,19439891.05,5e-15,0
0.025,1.1,12017.8625,42.025,0.95,11.525,42.175,0,40.6,16239325.825,5e-15,0
0.025,1.7,1394,0,0,42.75,0.925,0,15.875,31789908.575,5e-15,0
0.025,1.9,1248.325,0,0,47.375,0.925,0,14.65,37191346.5,5e-15,0
0.025,0.9,15573.8375,271.1,5.325,1.95,269.8,0,20.15,3094415.225,5e-15,0
0.025,2.1,1319.1,0,0,48.45,1.1,0,14.3,40688636.5,5e-15,0
0.025,2.3,1454.7125,0,0,49.6,0.95,0,14.925,47652783.175,5e-15,0
0.025,2.5,1863.925,0,0,49.9,1,0,16.3,56884449.4,5e-15,0
0.025,2.7,4258.175,0,0,50,1.425,0,18.45,73686143.225,5e-15,0
0.025,2.9,13821.2875,37.45,1.95,50,37.15,0,25.55,104386254.675,5e-15,0
0.025,3.1,18250.5,126.1,8.6,50,121.4,0,40.3,156159823.875,5e-15,0
0.025,3.3,18250.5,351.275,22.725,50.1,348.325,0,96.025,409040245.5,5e-15,0
0.025,3.5,15503.9,201780798.05,13832242.15,50.05,201777262.3,0.3,510.85,1179134665798.2,5e-15,0.3
0.025,3.7,11593.725,721508428.675,49526246.175,50.075,721499336.4,0.725,381.075,3643332104144.6,5e-15,0.725
0.025,3.9,7875.6875,1178298732.175,81038177.525,50.075,1178125210.3,0.95,257.475,4067265337410.67,5e-15,0.95
0.025,4.1,5498.9,1528307780.875,105566870.325,50.175,1527638691.025,0.975,178.75,3734014562790.42,5e-15,0.975
0.025,4.3,5600.025,1938107404.1,133463549.775,50.05,1937747593.675,1,182.1,4953481048881.5,5e-15,1
0.025,4.5,4746.925,2317976736.3,160070888.55,50.125,2317143224.6,0.975,153.775,4891039774278.67,5e-15,0.975
0.025,4.7,3895.075,2648787541.05,182904615.725,50.125,2648026699.075,1,125.65,4489847270753,5e-15,1
0.025,4.9,2582.8375,2959021497.475,204150252.075,50.125,2958691234.975,1,82.1,3133123014634.8,5e-15,1
0.025,5.1,2628.4625,3177340485.925,219674789.025,50.1,3176211277,1,83.7,3560074524354.62,5e-15,1
0.05,0.7,4705.25,5.475,0.075,1.025,6.275,0,0.725,129307.9,5e-15,0
0.05,0.5,357.45,0,0,1,1.225,0,0,1354.95,5e-15,0
0.05,1.5,1617.8125,0,0,36.15,1.25,0,18.55,27967088.175,5e-15,0
0.05,1.3,2487.5625,0,0,25.65,1.25,0,23.4,22669151.45,5e-15,0
