"epsilon1","epsilon2","tfinal","G","R","Tc","V","mut","trans","Vtot","nu","cancer"
0,0.5,1038.06,0,0,1,1.02,0,0.1,12956.94,5e-15,0
0,1.5,5294.44,7.28,0.2,34.7,8.14,0,19.96,25698053.44,5e-15,0
0,2,3493.36,1.4,0.24,47.58,2.72,0,14.8,38252944.06,5e-15,0
0,3,18251,222.34,13.92,50.12,225.46,0,38.36,122801975.22,5e-15,0
0,1,16438.78,354.5,7.88,5.76,352.54,0,56.14,10820554.02,5e-15,0
0,2.5,17600.26,72.66,4.28,50.02,71.08,0,19.54,58251474.4,5e-15,0
0,3.5,16762.74,123245492.28,8508088.32,50.14,123245945.96,0.26,543.82,729465234291.1,5e-15,0.26
0,4,6126.66,1304204974.48,90521015.22,50.12,1303835149.78,0.96,199.74,3484463776233,5e-15,0.96
0,4.5,3668.32,2279665261.2,158375706.38,50.2,2279504327.86,1,118.14,3515863254873.44,5e-15,1
0,5,2596.22,3028673290.76,211074514.76,50.3,3028175235.1,1,82.72,3246596493468.34,5e-15,1
0.1,0.5,5008.8,1.68,0.02,1.02,3.24,0,1.04,152128.6,5e-15,0
0.1,1.5,3200.4,0,0,37.22,1.14,0,17.28,27040642.9,5e-15,0
0.1,2,4452.8,1.74,0.12,48.46,2.44,0,15.18,39368610.4,5e-15,0
0.1,3,18251,298.2,20,50.06,302.4,0,48.16,151948308.94,5e-15,0
0.1,1,16765.12,140.02,3.18,12.3,142.58,0,44.76,15711589.08,5e-15,0
0.1,2.5,18251,89.86,5.22,50.02,88,0,21.56,66246941.88,5e-15,0
0.1,3.5,13182.6,398780752.76,26762316.1,50.08,398758044.62,0.6,434.12,2234155424823.22,5e-15,0.6
0.1,4,4242.68,1565574489.46,105457561.88,50.14,1565368418.36,1,136.88,2723004149491.4,5e-15,1
0.1,4.5,2687.5,2473932222.52,167400428.24,50.14,2472615446.08,1,85.32,2682249155460.4,5e-15,1
0.1,5,2501.2,3199951877.28,217250490.72,50.3,3198376105.32,1,79.58,3335249351802.82,5e-15,1
0.2,0.5,14622.62,120.06,1.56,1.24,118.74,0,6.82,1049391.1,5e-15,0
0.2,1.5,2276.02,0,0,41.98,1.34,0,16.48,31773046.72,5e-15,0
0.2,2,4313.64,0,0,49.02,0.88,0,14.08,40990819.26,5e-15,0
0.2,3,18251,445.36,27.18,50.08,439.9,0,64.88,223979577.58,5e-15,0
0.2,1,12275.62,58.88,1.64,18.24,58.28,0,33.58,19131970.48,5e-15,0
0.2,2.5,18251,104.56,5.78,50.04,104.3,0,23.26,72686856.94,5e-15,0
0.2,3.5,10096.72,652048242.22,42565867.54,50.16,651966748.46,0.7,331.5,2914760111226.38,5e-15,0.7
0.2,4,5418.44,1828508448.28,119493077.2,50.12,1828352879.84,1,176.14,4292722137975.56,5e-15,1
0.2,4.5,3382.8,2635375795.42,173156280.32,50.26,2634599346.16,1,108.74,3893919979881.18,5e-15,1
0.2,5,2477.18,3381625723.68,223145516.2,50.16,3378449261.62,1,78.68,3549329460148.68,5e-15,1
0.3,0.5,15383.78,225.44,3.18,1.56,226.84,0,15.32,2283362.14,5e-15,0
0.3,1.5,1839.42,0,0,44.32,0.88,0,15.48,32692858.84,5e-15,0
0.3,2,9237.48,10.62,0.36,49.56,11.46,0,15.16,49188141.34,5e-15,0
0.3,3,18251,750.84,44.82,50.14,746.12,0,102.08,355751603.58,5e-15,0
0.3,1,9423.7,31.76,0.88,22.64,32.6,0,26.2,18325813.26,5e-15,0
0.3,2.5,18251,134.14,7.14,50,135.94,0,26.46,83571320.86,5e-15,0
0.3,3.5,10493.18,948153345.92,60011669.1,50.16,948022856.2,0.8,344.94,4479606011003.18,5e-15,0.8
0.3,4,5300.66,2070315009.54,131298700.26,50.16,2070132525.42,0.96,172.34,4793401713035.56,5e-15,0.96
0.3,4.5,3165.42,2911499596.74,185483647.12,50.28,2910785890.48,1,101.4,3921849403748.8,5e-15,1
0.3,5,2588.88,3577834865.9,229327113.18,50.36,3575281213.2,1,82.76,3965835323331.6,5e-15,1
0.4,0.5,16461.14,425.14,4.92,2.78,426.1,0,31.24,4972256.7,5e-15,0
0.4,1.5,2189.78,0,0,45.12,0.9,0,14.7,32372796.82,5e-15,0
0.4,2,9799.5,8.46,0.36,49.98,9.46,0,16.44,55124238.84,5e-15,0
0.4,3,18251,2180.16,133.74,50.12,2185.32,0,253.38,957617445.3,5e-15,0
0.4,1,4572.08,8.44,0.2,28.56,9.12,0,22.5,22393914.74,5e-15,0
0.4,2.5,18251,162.46,8.56,50.04,163.5,0,31.36,100431993.66,5e-15,0
0.4,3.5,7356.66,1238557269.52,75910070,50.1,1238402796.22,0.92,240.48,3976602089485.48,5e-15,0.92
0.4,4,4372.52,2275435456.3,140229200.66,50.2,2274548885.32,0.98,141.54,4336474731041.08,5e-15,0.98
0.4,4.5,3012,3097275670.16,191157936.64,50.22,3096173642.26,1,96.58,4017889076254.56,5e-15,1
0.4,5,2463.5,3791857111.8,234752567.42,50.32,3790475807.08,1,78.58,3966857657146.64,5e-15,1
0.5,0.5,18251,303.5,3.72,5.76,300.1,0,57.28,11154842.28,5e-15,0
0.5,1.5,1666.66,0,0,47.78,1.3,0,14.34,39248200.26,5e-15,0
0.5,2,16290.7,54.56,2.6,49.98,55.88,0,18.94,59303185.12,5e-15,0
0.5,3,16978.66,130210691.18,7686502.4,50.22,130206756.48,0.16,546.52,778066449329.48,5e-15,0.16
