"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","C","mut","div","trans","Vtot","nu","cancer"
0,0.5,184.42,0.15,-0.14,-0.01,1,0.45,0,0,8.66,0,130.7,5e-17,0
0,0.75,278.575,0.14,-0.15,0.01,1,0.48,0,0,20.42,0,317.33,5e-17,0
0,1,456.995,0.08,-0.08,0,1,1.36,0,0,57.67,0,907.21,5e-17,0
0,1.25,4763.45,2.33,-0.1,0.53,1.69,3.46,0,0,105679.28,6.07,1625698.49,5e-17,0
0,1.5,2889.665,0.11,-0.14,0.03,15.66,1.55,0,0,773655.17,17.47,10014147.42,5e-17,0
0,1.75,1885.565,0.15,-0.17,0.02,30.3,1.21,0,0,1358957.51,15.83,15161711.78,5e-17,0
0,2,1441.92,0.2,-0.22,0,39.96,1.07,0,0,1874194.35,12.78,18382626.83,5e-17,0
0,2.25,1229.23,0.11,-0.12,0,45.47,1.34,0,0,2563570.01,12.44,22427963.77,5e-17,0
0,2.5,1144.7,0.1,-0.14,0.02,47.88,1.75,0,0,3203470.09,12.01,25303748.79,5e-17,0
0,2.75,1117.27,0.12,-0.17,0.04,49.63,1.31,0,0,4335452.88,12.34,31192061.04,5e-17,0
0,3,1189.84,0.09,-0.15,0.06,49.87,1.61,0,0,5400002.86,12.39,35665430.65,5e-17,0
0,3.25,1357.885,0.2,-0.21,0,50.01,1.43,0,0,8244123.45,14.12,50304459.41,5e-17,0
0,3.5,1647.78,-0.04,0.02,0,50.05,1.76,0,0,11473310.54,17.23,64998354.99,5e-17,0
0,3.75,2355.135,0.1,-0.1,-0.02,50.05,1.64,0,0,19678125.44,25.59,104004387.33,5e-17,0
0,4,5370.355,0.09,-0.12,0.02,50.03,2.36,0,0,56404500.18,63.65,279136481.04,5e-17,0
0,4.25,18097.17,221211004.48,15317492.01,43753123.35,50.04,175011106.91,0,0.06,263121356008.45,596.67,1251503098313.45,5e-17,0.06
0,4.5,16339.16,760197758.17,52675955.83,150448972.4,50.03,601795176.54,0,0.29,942611373544.11,538.7,4483204103688.63,5e-17,0.29
0,4.75,15019.58,1237973293.7,85866091.01,245143352.77,50.06,980576492.22,0,0.54,1445948038881.17,495.04,6872776880294.21,5e-17,0.54
0,5,13472.135,1670812289.19,115964038.8,331013974.46,50.07,1324055711.21,0,0.64,1766625869251.86,443.89,8393714087327.16,5e-17,0.64
0.05,0.5,219.91,0.18,-0.19,0.01,1,0.58,0,0,9.12,0,137.69,5e-17,0
0.05,0.75,281.535,0.23,-0.25,0.01,1,1.03,0,0,19.37,0,324.17,5e-17,0
0.05,1,496.35,0.09,-0.13,0.04,1,1.14,0,0,66.3,0.01,1071.5,5e-17,0
0.05,1.25,4509.365,0.08,-0.1,0.02,5,1.07,0,0,330888.42,14.25,4884590.4,5e-17,0
0.05,1.5,2577.185,0.12,-0.14,0,20.21,1.14,0,0,984328.85,17.6,12281209.81,5e-17,0
0.05,1.75,1769.635,0.18,-0.2,0,32.83,1.12,0,0,1428736.29,14.26,15445543.28,5e-17,0
0.05,2,1347.625,0.16,-0.14,-0.03,42.21,0.85,0,0,2055190.66,12.62,19604593.75,5e-17,0
0.05,2.25,1193.535,0.09,-0.1,0.01,46.08,1.19,0,0,2584132.68,11.23,22048503.21,5e-17,0
0.05,2.5,1138.21,0.1,-0.15,0.02,48.53,1.34,0,0,3333150.06,11.85,25734241.9,5e-17,0
0.05,2.75,1131.695,0.08,-0.16,0.04,49.6,1.59,0,0,4479611.14,11.51,31557335.12,5e-17,0
0.05,3,1223.475,0.04,-0.07,0.01,49.97,1,0,0,5969551.78,12.33,38657606.4,5e-17,0
0.05,3.25,1377.665,0.08,-0.15,0.06,50.03,1.55,0,0,7780872.16,14.22,46610426.15,5e-17,0
0.05,3.5,1791.99,0.07,-0.11,0,50.05,1.69,0,0,12868829.63,19.32,71680908.5,5e-17,0
0.05,3.75,2716.085,0.1,-0.13,0.02,50.05,1.85,0,0,22318667.77,30.93,116065039.15,5e-17,0
0.05,4,8282.94,0.07,-0.13,0.04,50.05,1.77,0,0,90677384.29,94.82,442015443.72,5e-17,0
0.05,4.25,17753.805,359336925.1,24532690.59,70068574.19,50.04,280275417.76,0,0.08,445215459489.51,585.34,2117358342349.65,5e-17,0.08
0.05,4.5,15454.105,886798286.6,60603789.22,173027604.32,50.06,692111059.96,0,0.42,1030614496545.06,509.21,4899532443372.68,5e-17,0.42
0.05,4.75,14606.49,1361960383.24,93128413,265883213.35,50.05,1063516097.25,0,0.53,1531352471742.86,481.48,7280103499861.04,5e-17,0.53
0.05,5,13943.04,1788583198.75,122382302.72,349331864.77,50.07,1397321723.16,0,0.63,1939381843136.83,459.63,9214999764895.31,5e-17,0.63
0.1,0.5,224.635,0.13,-0.19,0.03,1,0.5,0,0,9.99,0,145.66,5e-17,0
0.1,0.75,337.16,0.16,-0.2,0.02,1,1.2,0,0,26.68,0,426.43,5e-17,0
0.1,1,703.05,0.09,-0.12,0.03,1,1.13,0,0,123.94,0.01,1935.95,5e-17,0
0.1,1.25,4173.87,0.09,-0.11,0.01,7.45,1.45,0,0,422109.6,14.57,5979981.64,5e-17,0
0.1,1.5,2338.32,0.1,-0.15,0.01,23.14,0.94,0,0,1022975.3,15.97,12316890.65,5e-17,0
0.1,1.75,1604.855,0.16,-0.16,-0.01,36.42,1.06,0,0,1699758.42,13.49,17811653.43,5e-17,0
0.1,2,1337.025,0.14,-0.15,0,42.77,0.85,0,0,2101810.66,12.5,19486622.63,5e-17,0
0.1,2.25,1177.8,0.09,-0.1,-0.01,46.76,0.97,0,0,2711786.72,11.64,22571699.83,5e-17,0
0.1,2.5,1123.63,0.06,-0.14,0.06,49.01,1.25,0,0,3580363.73,11.83,27022591.86,5e-17,0
0.1,2.75,1145.575,0.11,-0.13,0,49.77,1.74,0,0,4572929.26,12.19,31552305.23,5e-17,0
0.1,3,1240.395,0.06,-0.09,0.01,49.99,1.38,0,0,6243066.41,13.39,39666923.31,5e-17,0
0.1,3.25,1446.425,0.07,-0.12,0.04,50.04,1.36,0,0,9185993.78,16.21,54058781.62,5e-17,0
0.1,3.5,1901.02,0.05,-0.06,0,50.03,1.79,0,0,14623900.55,19.96,80099359.37,5e-17,0
