"epsilon1","epsilon2","tfinal","G","R","P","Tc","V","mut","trans","Vtot","nu","cancer"
0,1.1,1279.11666666667,0,0,0,47.6333333333333,0.0333333333333333,0,10.9,13595298.8666667,5e-15,0
0,0.9,1475.03333333333,0,0,0.133333333333333,36.2666666666667,0.333333333333333,0,12.0333333333333,8313449.36666667,5e-15,0
0,1.3,1352.13333333333,0,0,0.0666666666666667,49.7333333333333,0.266666666666667,0,10.7666666666667,15248812.9,5e-15,0
0,0.7,4352.66666666667,0,0,0.0333333333333333,19.1666666666667,0.166666666666667,0,18.4666666666667,6654812.56666667,5e-15,0
0,1.5,3034.81666666667,0,0,0.2,48.4333333333333,0.9,0,13.3333333333333,22726859,5e-15,0
0,0.5,12880.7833333333,246.466666666667,3.03333333333333,20.1,1.56666666666667,82.5,0,4.83333333333333,809220.033333333,5e-15,0
0,1.7,17812.5666666667,133.733333333333,3.46666666666667,12.4333333333333,50.0666666666667,48.9,0,25.6333333333333,46724157.7333333,5e-15,0
0,2.1,18250.5,942983876.366667,29885818.4333333,85323624.4666667,50.0666666666667,341288707.1,0,602.366666666667,2916687543459.2,5e-15,0
0,1.9,18250.5,2233875.46666667,70795.0666666667,202016.9,50.0666666666667,807917.366666667,0,567.566666666667,6647827055.43333,5e-15,0
0,2.3,17451.9166666667,1707528454,54267548.5,154565278.3,50.2333333333333,618263866.933333,0.1,576.633333333333,5171066385336.13,5e-15,0.1
0,2.5,16602.55,2371979335.7,75380037.5333333,214785298.033333,50.2,859148848.6,0.166666666666667,548.533333333333,6901815299147,5e-15,0.166666666666667
0,3.3,14878.4833333333,4212936832.73333,134071401.833333,381850766.033333,50.2333333333333,1527420276.9,0.366666666666667,492.3,11125340456800.3,5e-15,0.366666666666667
0,2.7,15812.8166666667,2945013091,93492012.9,266754138.7,50.1,1067032346.83333,0.333333333333333,522.533333333333,8199657590019.13,5e-15,0.333333333333333
0,2.9,16093.1,3426772699.16667,108865220.833333,310469910.366667,50.1333333333333,1241878478.16667,0.266666666666667,532.266666666667,9751476709879.53,5e-15,0.266666666666667
0,3.1,15420.1166666667,3849518778.6,122322829.633333,348843959,50.1333333333333,1395381716.36667,0.3,510,10516616289206.8,5e-15,0.3
0,3.5,13990.3666666667,4545289974.86667,144619151.466667,412043585.933333,50.2,1648180571.4,0.433333333333333,462.966666666667,11304455145187,5e-15,0.433333333333333
0,3.9,15036.1,5096337462.43333,162428680.533333,462135476.433333,50.3,1848522370.93333,0.3,497.766666666667,13682463867164,5e-15,0.3
0,4.1,13445.4833333333,5339368492.63333,170036328.2,484227902.1,50.2333333333333,1936923030.36667,0.5,445.066666666667,12804701775731.4,5e-15,0.5
0,3.7,15196.2666666667,4844247104.33333,154012762.866667,439222864.933333,50.1333333333333,1756899713.13333,0.333333333333333,503.033333333333,13122422733746,5e-15,0.333333333333333
0,4.3,13647.2833333333,5549370484.16667,176992642.433333,503326687.333333,50.3333333333333,2013313121,0.4,451.866666666667,13529007099827.6,5e-15,0.4
0,4.7,12524.1333333333,5929269360.8,189057752.266667,537889167.466667,50.3,2151559960.86667,0.566666666666667,414.466666666667,13273446879525.2,5e-15,0.566666666666667
0,4.5,12325.4666666667,5748736802.03333,183290082.666667,521472767.766667,50.3,2085901471.8,0.633333333333333,407.933333333333,12642575920878.4,5e-15,0.633333333333333
0,4.9,14685.2,6096943765.23333,194331432.9,553145863.033333,50.2666666666667,2212592392.53333,0.466666666666667,486.7,16040249955173.8,5e-15,0.466666666666667
0,5.1,13408.8333333333,6244381255.76667,199331854.8,566571593.3,50.3666666666667,2266287264.13333,0.5,444.3,15008076448644.7,5e-15,0.5
0.025,1.1,1215.05,0,0,0.0333333333333333,47.2666666666667,0.333333333333333,0,11,12220796.7666667,5e-15,0
0.025,0.9,1408.15,0,0,0.233333333333333,40.3,0.766666666666667,0,12.1333333333333,9461194.53333333,5e-15,0
0.025,1.3,1426.46666666667,0,0,0.1,49.6333333333333,0.233333333333333,0,10.9666666666667,17923569.5,5e-15,0
0.025,0.7,3321.85,0,0,0.0666666666666667,18.2,0.366666666666667,0,15.5333333333333,5481803.4,5e-15,0
0.025,1.5,2982.45,0,0,0.1,50.0333333333333,0.333333333333333,0,14.0666666666667,23998534.2666667,5e-15,0
0.025,0.5,13277.0333333333,239.066666666667,2.3,20.9333333333333,1.93333333333333,84.3,0,6.33333333333333,949721.633333333,5e-15,0
0.025,1.7,17960.4333333333,140,4.2,12.5,50.0333333333333,50.5,0,27.3333333333333,55958829.4333333,5e-15,0
0.025,2.1,18250.5,1011629095.73333,31823644.5333333,90883340.7666667,50.0333333333333,363537221.066667,0,602.666666666667,3117503108412.4,5e-15,0
0.025,1.9,18250.5,74557404.3,2342510.23333333,6695413.03333333,50,26781984.4,0,600.433333333333,136957983695.5,5e-15,0
0.025,2.3,17099.1833333333,1789933519.73333,56329199.8333333,160873994.433333,50.0333333333333,643495076.8,0.1,564.566666666667,5277094318979.27,5e-15,0.1
0.025,2.5,14534.0666666667,2442098565.9,76898574.1666667,219560889.766667,50.0333333333333,878220331.033333,0.3,479.6,6150186627667.57,5e-15,0.3
0.025,3.3,14062.4333333333,4262266659.96667,134501917.733333,383577849.6,50.1333333333333,1534300190.53333,0.366666666666667,465.133333333333,10561573402449.2,5e-15,0.366666666666667
